Week,AI bubble,rate cut,gold price,bitcoin,tariffs,mortgage rates
2025-07-06,6,5,15,34,36,33
2025-07-13,8,5,15,44,26,38
2025-07-20,9,6,19,39,30,37
2025-07-27,11,14,23,37,76,41
2025-08-03,22,19,31,46,100,58
2025-08-10,35,39,34,68,73,62
2025-08-17,54,43,34,58,57,52
2025-08-24,37,27,29,46,62,48
2025-08-31,28,36,41,42,59,58
2025-09-07,25,45,42,40,45,69
2025-09-14,24,100,35,37,37,100
2025-09-21,32,40,40,39,53,83
2025-09-28,42,24,42,42,57,77
2025-10-05,58,15,49,52,60,63
2025-10-12,55,17,56,57,71,64
2025-10-19,46,16,62,44,47,65
2025-10-26,46,46,50,40,46,80
2025-11-02,72,15,35,48,51,60
2025-11-09,58,15,36,47,43,64
2025-11-16,100,20,32,77,35,59
2025-11-23,52,30,33,56,31,62
2025-11-30,50,33,35,58,33,67
2025-12-07,47,61,34,43,28,80
2025-12-14,49,18,34,44,26,58
2025-12-21,35,7,36,35,16,38
2025-12-28,34,6,38,35,15,44
2026-01-04,32,7,32,35,27,56
2026-01-11,31,9,34,33,36,60
2026-01-18,32,10,53,35,50,50
2026-01-25,31,13,100,43,33,45
2026-02-01,35,12,96,100,31,49
2026-02-08,32,10,46,62,29,50
2026-02-15,34,11,38,44,67,62
2026-02-22,37,11,38,52,54,65
2026-03-01,36,11,53,53,30,61
2026-03-08,35,11,48,44,27,63
2026-03-15,42,14,55,43,27,66
2026-03-22,40,12,79,41,28,65
2026-03-29,41,13,53,42,35,72
2026-04-05,38,12,43,41,32,65
2026-04-12,41,11,35,41,30,65
2026-04-19,38,11,30,35,29,57
2026-04-26,47,12,30,33,30,69
2026-05-03,53,12,30,38,34,71
2026-05-10,68,14,38,35,38,65
2026-05-17,55,12,31,33,36,59
2026-05-24,63,12,31,32,33,57
2026-05-31,82,15,33,48,41,58
2026-06-07,78,15,40,41,30,53
2026-06-14,56,14,35,36,30,63
2026-06-21,59,9,36,36,25,57
2026-06-28,30,4,28,28,11,31
