Week,ราคาทอง,ค่าเงินบาท,ดอกเบี้ย,หุ้น,กองทุนรวม,บิทคอยน์
2025-07-06,16,52,55,66,48,58
2025-07-13,16,60,56,79,49,73
2025-07-20,16,60,55,79,53,54
2025-07-27,16,57,55,67,46,49
2025-08-03,17,60,55,89,47,47
2025-08-10,14,52,61,75,54,56
2025-08-17,13,56,59,84,55,53
2025-08-24,15,58,54,81,59,39
2025-08-31,24,59,58,81,55,49
2025-09-07,24,100,59,91,70,49
2025-09-14,23,75,60,86,59,46
2025-09-21,29,78,56,90,88,49
2025-09-28,45,82,57,94,81,52
2025-10-05,46,71,55,100,83,89
2025-10-12,51,66,53,94,80,86
2025-10-19,67,60,48,83,81,64
2025-10-26,53,66,60,91,72,59
2025-11-02,32,50,53,90,65,68
2025-11-09,33,50,51,88,65,74
2025-11-16,28,46,49,80,53,83
2025-11-23,25,55,55,76,53,64
2025-11-30,25,59,58,67,51,68
2025-12-07,23,58,56,68,48,60
2025-12-14,22,64,59,72,62,50
2025-12-21,29,98,75,68,65,49
2025-12-28,25,66,74,48,68,45
2026-01-04,29,64,83,78,67,43
2026-01-11,35,66,67,81,69,47
2026-01-18,50,84,66,84,77,72
2026-01-25,100,96,76,90,100,73
2026-02-01,89,69,66,87,82,100
2026-02-08,41,68,60,87,64,60
2026-02-15,36,53,60,90,71,49
2026-02-22,44,62,73,98,80,56
2026-03-01,67,74,61,90,70,58
2026-03-08,36,72,59,92,62,51
2026-03-15,43,66,61,81,54,50
2026-03-22,65,82,59,83,61,43
2026-03-29,45,63,66,80,53,39
2026-04-05,36,59,58,75,51,36
2026-04-12,27,53,47,62,51,36
2026-04-19,26,61,59,91,65,30
2026-04-26,27,57,61,79,64,26
2026-05-03,27,60,60,85,87,36
2026-05-10,24,55,61,100,94,29
2026-05-17,27,56,57,93,85,27
2026-05-24,30,55,64,93,99,34
2026-05-31,27,56,59,85,93,50
2026-06-07,46,57,60,93,77,46
2026-06-14,33,55,65,87,83,39
2026-06-21,35,71,79,82,82,42
2026-06-28,32,60,100,84,87,34
